iter	Logloss
0	0.6485333007
1	0.6167572584
2	0.58530516
3	0.5625469472
4	0.545825426
5	0.5316381077
6	0.5166678417
7	0.5059455146
8	0.496220595
9	0.4874149273
10	0.4795012301
11	0.4745993457
12	0.4672313733
13	0.4620074793
14	0.4578479611
15	0.4547433385
16	0.4509057768
17	0.4481618333
18	0.4455628823
19	0.4434057006
20	0.4403231629
21	0.436703924
22	0.4339428194
23	0.4309112792
24	0.4279425987
25	0.4251859105
26	0.4234322216
27	0.4213491771
28	0.4193799379
29	0.4182296759
30	0.4167241325
31	0.4155449557
32	0.4142734133
33	0.4125006447
34	0.4112121639
35	0.4102152547
36	0.4089868628
37	0.4073882007
38	0.406505744
39	0.4054581835
40	0.4040503195
41	0.4028040146
42	0.4022051394
43	0.4015195761
44	0.4001267189
45	0.3983517698
46	0.3974009402
47	0.3966116973
48	0.3955381649
49	0.3949059505
50	0.3942039556
51	0.3935994616
52	0.3930144429
53	0.3923944192
54	0.3918484373
55	0.3913832707
56	0.3906788148
57	0.3897773131
58	0.3893065485
59	0.3889654312
60	0.3882985228
61	0.3873082719
62	0.3866315643
63	0.3845418561
64	0.3840402626
65	0.383398969
66	0.3828942503
67	0.3822157118
68	0.3812118368
69	0.3810075651
70	0.3802901907
71	0.3796324056
72	0.3790539903
73	0.3780027784
74	0.3776580785
75	0.376974892
76	0.3765558411
77	0.3760362178
78	0.375543418
79	0.3750582465
80	0.3744727792
81	0.3740673438
82	0.3733789009
83	0.3731035249
84	0.3728340172
85	0.372462982
86	0.3720246361
87	0.3716818879
88	0.3712958434
89	0.3704616511
90	0.3696625681
91	0.3694033354
92	0.3689289913
93	0.3685412393
94	0.3681270348
95	0.3675474555
96	0.3667132927
97	0.3664518842
98	0.3660135366
99	0.3655424463
100	0.3651367378
101	0.3641524734
102	0.3636873956
103	0.3633860888
104	0.3631077376
105	0.3626994525
106	0.36233492
107	0.3618950345
108	0.3613446588
109	0.3610641161
110	0.360002584
111	0.3596339232
112	0.3591984714
113	0.3587515399
114	0.3582547764
115	0.357939529
116	0.3575363092
117	0.3571998345
118	0.3568231598
119	0.3563765048
120	0.3559899064
121	0.3556900628
122	0.3554476124
123	0.3550983092
124	0.3547008786
125	0.3537190122
126	0.3532081181
127	0.3528180531
128	0.3525297775
129	0.3521891089
130	0.3519090326
131	0.3516325522
132	0.3513113577
133	0.3510551277
134	0.3507250048
135	0.3502600392
136	0.3493581194
137	0.3490159274
138	0.3484225288
139	0.3481027835
140	0.3477098875
141	0.3474257761
142	0.3470580611
143	0.3468409501
144	0.3464611315
145	0.3461617074
146	0.34587508
147	0.3456302727
148	0.3452690422
149	0.3449708673
150	0.3447685445
151	0.3441829594
152	0.3440023612
153	0.3432791148
154	0.3429137547
155	0.3425793776
156	0.3422966632
157	0.3418640198
158	0.3414584878
159	0.3410153533
160	0.3405870277
161	0.340186924
162	0.3396067284
163	0.3393779783
164	0.338910362
165	0.3385915388
166	0.3384994579
167	0.3382104265
168	0.3377724454
169	0.3374476491
170	0.3370061135
171	0.336640981
172	0.3363383823
173	0.3360552485
174	0.3358259323
175	0.334810203
176	0.3344480865
177	0.3342074388
178	0.3338840925
179	0.3335038637
180	0.3332549135
181	0.332961449
182	0.3327326333
183	0.3323477811
184	0.3320931019
185	0.331684109
186	0.3307580898
187	0.3304055357
188	0.3302300195
189	0.3299181931
190	0.3290358356
191	0.3287115673
192	0.328392684
193	0.3282023569
194	0.3279143607
195	0.3273615555
196	0.3271603891
197	0.3268497845
198	0.326596794
199	0.3261384887
